symbol,bar,bar_label,direction,max_entries_per_trend,max_entries_label,dynamic_param,dynamic_max_entries_per_trend,dynamic_max_entries_label,dynamic_pnl,dynamic_max_drawdown,fixed_param,fixed_max_entries_per_trend,fixed_max_entries_label,fixed_pnl,fixed_max_drawdown,winner,pnl_gap
BTC-USDT-SWAP,5m,5分钟,做多,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2304.6676,3064.6117,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,766.4532,1575.9487,dynamic,1538.2144
BTC-USDT-SWAP,5m,5分钟,做空,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-2160.1743,3940.5524,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-2013.8840,3081.3771,fixed,146.2903
ETH-USDT-SWAP,5m,5分钟,做多,3,3,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓3,3,3,170.6773,3057.8812,EMA21挂单 | SL x2 | TP x4 | 每波开仓2,2,2,-817.9302,2713.3879,dynamic,988.6075
ETH-USDT-SWAP,5m,5分钟,做空,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-1538.0243,2904.3286,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-2425.2282,2966.0929,dynamic,887.2039
BNB-USDT-SWAP,5m,5分钟,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-4429.3818,5074.1990,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,-2319.7347,3181.3659,fixed,2109.6471
BNB-USDT-SWAP,5m,5分钟,做空,3,3,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓3,3,3,-3167.1886,4092.0243,EMA21挂单 | SL x2 | TP x6 | 每波开仓3,3,3,-3873.8864,4751.1520,dynamic,706.6978
SOL-USDT-SWAP,5m,5分钟,做多,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-1101.2437,4290.6309,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,-681.6227,3880.3343,fixed,419.6210
SOL-USDT-SWAP,5m,5分钟,做空,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,1395.3055,1803.2896,EMA21挂单 | SL x2 | TP x6 | 每波开仓3,3,3,-121.0396,1866.3088,dynamic,1516.3451
DOGE-USDT-SWAP,5m,5分钟,做多,1,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,-1019.5957,3476.8416,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,-568.4780,1512.3291,fixed,451.1177
DOGE-USDT-SWAP,5m,5分钟,做空,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,200.7134,2401.6809,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-1446.2363,2170.1926,dynamic,1646.9497
BTC-USDT-SWAP,15m,15分钟,做多,2,2,EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓2,2,2,63.5337,2726.1511,EMA21挂单 | SL x2 | TP x4 | 每波开仓3,3,3,-266.2449,2308.4033,dynamic,329.7786
BTC-USDT-SWAP,15m,15分钟,做空,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,3357.1092,846.2350,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,1611.2760,1291.7000,dynamic,1745.8333
ETH-USDT-SWAP,15m,15分钟,做多,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,772.2021,1696.6089,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,684.9800,1570.5058,dynamic,87.2220
ETH-USDT-SWAP,15m,15分钟,做空,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,3129.5790,1534.8713,EMA21挂单 | SL x2 | TP x6 | 每波开仓2,2,2,1317.5317,1218.6970,dynamic,1812.0473
BNB-USDT-SWAP,15m,15分钟,做多,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,1911.0549,1612.9106,EMA55挂单 | SL x2 | TP x4 | 每波开仓1,1,1,1689.3920,1089.3894,dynamic,221.6629
BNB-USDT-SWAP,15m,15分钟,做空,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,2898.5679,1684.6486,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1050.8031,1550.5858,dynamic,1847.7648
SOL-USDT-SWAP,15m,15分钟,做多,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,394.3390,2683.6251,EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),296.8798,3124.8069,dynamic,97.4592
SOL-USDT-SWAP,15m,15分钟,做空,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,3611.2784,2024.1029,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,1722.0334,1709.7418,dynamic,1889.2450
DOGE-USDT-SWAP,15m,15分钟,做多,0,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0),0,不限(0),-382.4847,3959.6071,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓2,2,2,-1580.9883,3871.3505,dynamic,1198.5037
DOGE-USDT-SWAP,15m,15分钟,做空,0,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),1533.4994,1955.3044,EMA21挂单 | SL x2 | TP x4 | 每波开仓2,2,2,1649.8003,972.3329,fixed,116.3009
BTC-USDT-SWAP,1H,1小时,做多,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),228.6951,2242.6116,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,65.2051,1296.9036,dynamic,163.4900
BTC-USDT-SWAP,1H,1小时,做空,2,2,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓2,2,2,3048.7373,1885.4507,EMA21挂单 | SL x2 | TP x6 | 每波开仓2,2,2,633.1248,1464.6841,dynamic,2415.6125
ETH-USDT-SWAP,1H,1小时,做多,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,4980.3809,827.5999,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,2904.4769,827.1228,dynamic,2075.9040
ETH-USDT-SWAP,1H,1小时,做空,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,797.9588,2641.4036,EMA21挂单 | SL x2 | TP x4 | 每波开仓2,2,2,677.9608,1541.8523,dynamic,119.9979
BNB-USDT-SWAP,1H,1小时,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,3774.7552,995.3986,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,2412.0608,1391.0865,dynamic,1362.6943
BNB-USDT-SWAP,1H,1小时,做空,1,1,EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,1214.9143,2797.5580,EMA55挂单 | SL x2 | TP x2 | 每波开仓不限(0),0,不限(0),-399.4274,1366.7517,dynamic,1614.3417
SOL-USDT-SWAP,1H,1小时,做多,2,2,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓2,2,2,2958.3422,1305.9456,EMA21挂单 | SL x1 | TP x2 | 每波开仓1,1,1,2740.8407,1034.1930,dynamic,217.5015
SOL-USDT-SWAP,1H,1小时,做空,2,2,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓2,2,2,5312.4712,2235.6708,EMA21挂单 | SL x1 | TP x3 | 每波开仓2,2,2,3208.9407,2379.7474,dynamic,2103.5305
DOGE-USDT-SWAP,1H,1小时,做多,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,413.0502,1733.9052,EMA55挂单 | SL x1 | TP x3 | 每波开仓1,1,1,816.1857,1905.1300,fixed,403.1355
DOGE-USDT-SWAP,1H,1小时,做空,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,5801.3692,1822.6541,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1674.6555,1982.4777,dynamic,4126.7137
BTC-USDT-SWAP,4H,4小时,做多,1,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,5722.4563,1088.0567,EMA21挂单 | SL x1 | TP x3 | 每波开仓1,1,1,4176.7647,1251.0443,dynamic,1545.6916
BTC-USDT-SWAP,4H,4小时,做空,2,2,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓2,2,2,2790.4229,1012.2184,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1796.5532,842.0864,dynamic,993.8696
ETH-USDT-SWAP,4H,4小时,做多,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2675.6393,1396.7988,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓3,3,3,119.7942,2748.7694,dynamic,2555.8452
ETH-USDT-SWAP,4H,4小时,做空,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,3115.7639,1186.9318,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,1060.4142,1604.0324,dynamic,2055.3497
BNB-USDT-SWAP,4H,4小时,做多,2,2,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓2,2,2,4163.0925,1112.5314,EMA21挂单 | SL x1 | TP x3 | 每波开仓2,2,2,3779.9593,1121.6811,dynamic,383.1332
BNB-USDT-SWAP,4H,4小时,做空,1,1,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2227.3376,1611.2154,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,719.9038,1493.0009,dynamic,1507.4338
SOL-USDT-SWAP,4H,4小时,做多,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),2476.6141,821.7426,EMA21挂单 | SL x1 | TP x3 | 每波开仓3,3,3,2859.2748,1754.5257,fixed,382.6607
SOL-USDT-SWAP,4H,4小时,做空,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,5813.1015,872.0899,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,4068.1337,1030.3546,dynamic,1744.9678
DOGE-USDT-SWAP,4H,4小时,做多,3,3,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓3,3,3,2182.1866,2030.4925,EMA21挂单 | SL x1 | TP x3 | 每波开仓3,3,3,871.3259,2268.6624,dynamic,1310.8607
DOGE-USDT-SWAP,4H,4小时,做空,3,3,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓3,3,3,9012.6788,1248.4464,EMA21挂单 | SL x1 | TP x3 | 每波开仓3,3,3,4083.1368,1861.0885,dynamic,4929.5420
